date,price,signal,returns,strategy_returns,equity_curve
2025-12-19,985.5,1,0.00592017964683067,-0.016007745234773663,0.6874142070260365
2025-12-22,987.7,1,0.002232369355657182,-0.008383463747314246,0.6816512949420449
2025-12-23,996.6,1,0.009010833248962236,0.0024344169868403265,0.6833107184335534
2025-12-24,997.2,1,0.0006020469596628164,0.013395510511926001,0.6924640143452419
2025-12-26,992.1,1,-0.005114320096269553,0.01265110911484335,0.701224452148826
2025-12-29,991.7,1,-0.000403185162786035,0.006327744305226646,0.7056616211825963
2025-12-30,990.9,1,-0.0008066955732580761,0.0032886793763113875,0.707982316002834
2025-12-31,991.2,1,0.0003027550711474092,-0.005419398801503439,0.7041454774880026
2026-01-01,991.15,1,-5.044390637620744e-05,-0.006071889667542463,0.6998699838387964
2026-01-02,1001.6,1,0.010543308278262664,0.009585738706989755,0.7065787546327402
